Fusiegemeente;adress;latitude;longitude
Hoegaarden;Hoegaarden, Belgium;50,77433;4,89273
Hoeilaart;Hoeilaart, Belgium;50,7674863;4,4740458
Hoeselt;Hoeselt, Belgium;50,8497352;5,4911006
Holsbeek;Holsbeek, Belgium;50,92113;4,75696
Hooglede;Hooglede, Belgium;50,9786175;3,0815036
Hoogstraten;Hoogstraten, Belgium;51,4021866;4,7619387
Horebeke;Horebeke, Belgium;50,8372;3,68672
Houthalen-Helchteren;Houthalen-Helchteren, Belgium;51,0312424;5,3765453
Houthulst;Houthulst, Belgium;50,9773679;2,9456829
Hove;Hove, Belgium;51,1540043;4,4711513
Huldenberg;Huldenberg, Belgium;50,7885995;4,5880687
Hulshout;Hulshout, Belgium;51,0747105;4,7917762
Ichtegem;Ichtegem, Belgium;51,0928306;3,0106116
Ieper;Ieper, Belgium;50,8492265;2,8779388
Ingelmunster;Ingelmunster, Belgium;50,92325;3,26284
Izegem;Izegem, Belgium;50,9180785;3,2132192
Jabbeke;Jabbeke, Belgium;51,1829725;3,0948388
Jette;Jette, Belgium;50,8808582;4,3227894
Kalmthout;Kalmthout, Belgium;51,38298;4,47518
Kampenhout;Kampenhout, Belgium;50,94209;4,54981
Kapelle-op-den-Bos;Kapelle-op-den-Bos, Belgium;51,01324;4,35541
Kapellen;Kapellen, Belgium;51,3140004;4,4324004
Kaprijke;Kaprijke, Belgium;51,2187989;3,6174937
Kasterlee;Kasterlee, Belgium;51,2405124;4,9674402
Keerbergen;Keerbergen, Belgium;51,0057936;4,6320416
Kinrooi;Kinrooi, Belgium;51,14552;5,74113
Kluisbergen;Kluisbergen, Belgium;50,7784304;3,4935589
Knesselare;Knesselare, Belgium;51,1389261;3,4127817
Knokke-Heist;Knokke-Heist, Belgium;51,34635;3,28586
Koekelare;Koekelare, Belgium;51,0929033;2,9795835
Koekelberg;Koekelberg, Belgium;50,8633811;4,330338
Koksijde;Koksijde, Belgium;51,1055159;2,6501419
Kontich;Kontich, Belgium;51,1352386;4,4450065
Kortemark;Kortemark, Belgium;51,0284499;3,0441091
Kortenaken;Kortenaken, Belgium;50,8935594;5,0339733
Kortenberg;Kortenberg, Belgium;50,8884334;4,5440302
Kortessem;Kortessem, Belgium;50,8690582;5,4019311
Kortrijk;Kortrijk, Belgium;50,8194776;3,2577263
Kraainem;Kraainem, Belgium;50,8610856;4,4592974
Kruibeke;Kruibeke, Belgium;51,1706379;4,3123063
Kruishoutem;Kruishoutem, Belgium;50,904499;3,5281414
Kuurne;Kuurne, Belgium;50,85397;3,287
Laakdal;Laakdal, Belgium;51,08475;5,03076
Laarne;Laarne, Belgium;51,0304538;3,8535988
Lanaken;Lanaken, Belgium;50,8919647;5,6572276
Landen;Landen, Belgium;50,75534;5,08081
Langemark-Poelkapelle;Langemark-Poelkapelle, Belgium;50,9135674;2,9200127
Lebbeke;Lebbeke, Belgium;51,0005702;4,1292201
Lede;Lede, Belgium;50,9658595;3,9773738
Ledegem;Ledegem, Belgium;50,8549568;3,1274573
Lendelede;Lendelede, Belgium;50,8862994;3,2381931
Lennik;Lennik, Belgium;50,8086929;4,161434
Leopoldsburg;Leopoldsburg, Belgium;51,1182774;5,2508114
Leuven;Leuven, Belgium;50,8798438;4,7005176
Lichtervelde;Lichtervelde, Belgium;51,0277074;3,1439095
Liedekerke;Liedekerke, Belgium;50,86891;4,08729
Lier;Lier, Belgium;51,1302138;4,5715092
Lierde;Lierde, Belgium;50,8125526;3,8232847
Lille;Lille, Belgium;51,2420452;4,8232254
Linkebeek;Linkebeek, Belgium;50,7660264;4,3456087
Lint;Lint, Belgium;51,1272719;4,4967604
Linter;Linter, Belgium;50,84151;5,03661
Lo-Reninge;Lo-Reninge, Belgium;50,9688486;2,7818969
Lochristi;Lochristi, Belgium;51,0974612;3,8378242
Lokeren;Lokeren, Belgium;51,1023413;3,9940663
Lommel;Lommel, Belgium;51,2304193;5,3110063
Londerzeel;Londerzeel, Belgium;51,00311;4,3026
Lovendegem;Lovendegem, Belgium;51,0953575;3,6059674
Lubbeek;Lubbeek, Belgium;50,883;4,83927
Lummen;Lummen, Belgium;50,98761;5,19511
Maarkedal;Maarkedal, Belgium;50,80794;3,61833
Maaseik;Maaseik, Belgium;51,0983909;5,7837625
Maasmechelen;Maasmechelen, Belgium;50,9797558;5,7018474
Machelen;Machelen, Belgium;50,9125785;4,4350213
Maldegem;Maldegem, Belgium;51,2090702;3,44868
Malle;Malle, Belgium;51,2967796;4,6943409
Mechelen;Mechelen, Belgium;51,0258761;4,4775362
Meerhout;Meerhout, Belgium;51,13219;5,07708
Meeuwen-Gruitrode;Meeuwen-Gruitrode, Belgium;51,09495;5,54784
Meise;Meise, Belgium;50,9359353;4,3294598
Melle;Melle, Belgium;51,0036598;3,8003144
Menen;Menen, Belgium;50,7962915;3,121342
Merchtem;Merchtem, Belgium;50,95842;4,23244
Merelbeke;Merelbeke, Belgium;50,9945496;3,7456402
Merksplas;Merksplas, Belgium;51,3581903;4,8635474
Mesen;Mesen, Belgium;50,7638555;2,8976699
Meulebeke;Meulebeke, Belgium;50,9506;3,28637
Middelkerke;Middelkerke, Belgium;51,18511;2,8207883
Moerbeke;Moerbeke, Belgium;51,1734692;3,9342837
Mol;Mol, Belgium;51,191087;5,1170647
Moorslede;Moorslede, Belgium;50,891147;3,0632369
Mortsel;Mortsel, Belgium;51,1691158;4,4662486
Nazareth;Nazareth, Belgium;50,9597541;3,5951314
Neerpelt;Neerpelt, Belgium;51,22724;5,43173
Nevele;Nevele, Belgium;51,0343323;3,5474483
Niel;Niel, Belgium;51,11064;4,33207
Nieuwerkerken;Nieuwerkerken, Belgium;50,86475;5,18869
Nieuwpoort;Nieuwpoort, Belgium;51,1284823;2,7480158
Nijlen;Nijlen, Belgium;51,1613664;4,6705129
Ninove;Ninove, Belgium;50,8336386;4,0188286
Olen;Olen, Belgium;51,1440245;4,8599119
Oostende;Oostende, Belgium;51,21543;2,928656
Oosterzele;Oosterzele, Belgium;50,9467651;3,8155053
Oostkamp;Oostkamp, Belgium;51,1545363;3,2332169
Oostrozebeke;Oostrozebeke, Belgium;50,9202012;3,3346008
Opglabbeek;Opglabbeek, Belgium;51,04316;5,58412
Opwijk;Opwijk, Belgium;50,971588;4,186911
Oud-Heverlee;Oud-Heverlee, Belgium;50,8371647;4,6633371
Oud-Turnhout;Oud-Turnhout, Belgium;51,3177601;4,982845
Oudenaarde;Oudenaarde, Belgium;50,8469547;3,6013676
Oudenburg;Oudenburg, Belgium;51,1836719;3,0068753
Oudergem;Oudergem, Belgium;50,8164064;4,4265181
Overijse;Overijse, Belgium;50,77381;4,53475
Overpelt;Overpelt, Belgium;51,2102694;5,4225379
Peer;Peer, Belgium;51,1329;5,4536
Pepingen;Pepingen, Belgium;50,75857;4,1642
Pittem;Pittem, Belgium;50,9942781;3,2666707
Poperinge;Poperinge, Belgium;50,8549596;2,7267929
Putte;Putte, Belgium;51,05476;4,62867
Puurs;Puurs, Belgium;51,075;4,28925
Ranst;Ranst, Belgium;51,1889958;4,5609189
Ravels;Ravels, Belgium;51,370922;4,9939098
Retie;Retie, Belgium;51,2669664;5,0842508
Riemst;Riemst, Belgium;50,8089945;5,6012328
Rijkevorsel;Rijkevorsel, Belgium;51,34806;4,76054
Roeselare;Roeselare, Belgium;50,9499087;3,1294471
Ronse;Ronse, Belgium;50,7505367;3,6005095
Roosdaal;Roosdaal, Belgium;50,8428827;4,0760225
Rotselaar;Rotselaar, Belgium;50,9536709;4,7183791
Ruiselede;Ruiselede, Belgium;51,0413098;3,3970513
Rumst;Rumst, Belgium;51,0804194;4,4217892
Schaarbeek;Schaarbeek, Belgium;50,8674164;4,3772981
Schelle;Schelle, Belgium;51,1269186;4,3388412
Scherpenheuvel-Zichem;Scherpenheuvel-Zichem, Belgium;50,9890432;4,9776281
Schilde;Schilde, Belgium;51,2407352;4,5834231
Schoten;Schoten, Belgium;51,2497532;4,4977063
Sint-Agatha-Berchem;Sint-Agatha-Berchem, Belgium;50,8657821;4,2925975
Sint-Amands;Sint-Amands, Belgium;51,05595;4,20946
Sint-Genesius-Rode;Sint-Genesius-Rode, Belgium;50,74594;4,35753
Sint-Gillis;Sint-Gillis, Belgium;50,8301436;4,3402184
Sint-Gillis-Waas;Sint-Gillis-Waas, Belgium;51,2199257;4,1242507
Sint-Jans-Molenbeek;Sint-Jans-Molenbeek, Belgium;50,8522009;4,3303277
Sint-Joost-Ten-Node;Sint-Joost-Ten-Node, Belgium;50,8537715;4,3704657
Sint-Katelijne-Waver;Sint-Katelijne-Waver, Belgium;51,07045;4,53136
Sint-Lambrechts-Woluwe;Sint-Lambrechts-Woluwe, Belgium;50,8489094;4,4320883
Sint-Laureins;Sint-Laureins, Belgium;51,2404591;3,5259689
Sint-Lievens-Houtem;Sint-Lievens-Houtem, Belgium;50,920639;3,8544261
Sint-Martens-Latem;Sint-Martens-Latem, Belgium;51,0089664;3,6330725
Sint-Niklaas;Sint-Niklaas, Belgium;51,1558839;4,154441
Sint-Pieters-Leeuw;Sint-Pieters-Leeuw, Belgium;50,7798;4,24368
