Gemeente Origineel;Postcode;Fusiegemeente;Stedelijkheid fusiegemeenten;Gemeente cluster;Province (English);Country (English);Provincie;Stedelijkheid;;;;;;;;;;;;;;;;;;;;
Brugge;8000;Brugge;Centrumstad;Brugge;West Flanders;Belgium;West-Vlaanderen;Centrumstad;;;;;;;;;;;;;;;;;;;;
Brugge 2 (Brugge);8200;Brugge;Centrumstad;Brugge;West Flanders;Belgium;West-Vlaanderen;Centrumstad;;;;;;;;;;;;;;;;;;;;
Koolkerke (Brugge);8000;Brugge;Centrumstad;Brugge;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Andries (Brugge);8200;Brugge;Centrumstad;Brugge;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Michiels (Brugge);8200;Brugge;Centrumstad;Brugge;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Assebroek (Brugge);8310;Brugge;Centrumstad;Assebroek (Brugge);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Kruis (Brugge);8310;Brugge;Centrumstad;Sint-Kruis (Brugge);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lissewege (Brugge);8380;Brugge;Centrumstad;Lissewege (Brugge);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zeebrugge (Brugge);8380;Brugge;Centrumstad;Zeebrugge (Brugge);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Dudzele (Brugge);8380;Brugge;Centrumstad;Dudzele (Brugge);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Brussel;1000;Brussel;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Laken (Brussel);1020;Brussel;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Haren (Brussel);1130;Brussel;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Buggenhout;9255;Buggenhout;Niet-stedelijk;Buggenhout;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Opdorp (Buggenhout);9255;Buggenhout;Niet-stedelijk;Opdorp (Buggenhout);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Damme;8340;Damme;Niet-stedelijk;Damme;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Moerkerke (Damme);8340;Damme;Niet-stedelijk;Moerkerke (Damme);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sijsele (Damme);8340;Damme;Niet-stedelijk;Sijsele (Damme);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
De Haan;8420;De Haan;Niet-stedelijk;De Haan;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Klemskerke (De Haan);8420;De Haan;Niet-stedelijk;Klemskerke (De Haan);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wenduine (De Haan);8420;De Haan;Niet-stedelijk;Wenduine (De Haan);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vlissegem (De Haan);8421;De Haan;Niet-stedelijk;Vlissegem (De Haan);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Adinkerke (De Panne);8660;De Panne;Niet-stedelijk;Adinkerke (De Panne);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
De Panne;8660;De Panne;Niet-stedelijk;De Panne;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
De Pinte;9840;De Pinte;Niet-stedelijk;De Pinte;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zevergem (De Pinte);9840;De Pinte;Niet-stedelijk;Zevergem (De Pinte);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Deerlijk;8540;Deerlijk;Niet-stedelijk;Deerlijk;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Astene (Deinze);9800;Deinze;Niet-stedelijk;Astene (Deinze);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bachte-Maria-Leerne (Deinze);9800;Deinze;Niet-stedelijk;Bachte-Maria-Leerne (Deinze);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Deinze;9800;Deinze;Niet-stedelijk;Deinze;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Gottem (Deinze);9800;Deinze;Niet-stedelijk;Gottem (Deinze);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Grammene (Deinze);9800;Deinze;Niet-stedelijk;Grammene (Deinze);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Meigem (Deinze);9800;Deinze;Niet-stedelijk;Meigem (Deinze);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Petegem-Aan-De-Leie (Deinze);9800;Deinze;Niet-stedelijk;Petegem-Aan-De-Leie (Deinze);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Martens-Leerne (Deinze);9800;Deinze;Niet-stedelijk;Sint-Martens-Leerne (Deinze);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vinkt (Deinze);9800;Deinze;Niet-stedelijk;Vinkt (Deinze);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Denderleeuw;9470;Denderleeuw;Niet-stedelijk;Denderleeuw;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Welle (Denderleeuw);9473;Denderleeuw;Niet-stedelijk;Welle (Denderleeuw);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Baasrode (Dendermonde);9200;Dendermonde;Niet-stedelijk;Baasrode (Dendermonde);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Dendermonde;9200;Dendermonde;Niet-stedelijk;Dendermonde;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Grembergen (Dendermonde);9200;Dendermonde;Niet-stedelijk;Grembergen (Dendermonde);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Schoonaarde (Dendermonde);9200;Dendermonde;Niet-stedelijk;Schoonaarde (Dendermonde);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Gillis-Bij-Dendermonde (Dendermonde);9200;Dendermonde;Niet-stedelijk;Sint-Gillis-Bij-Dendermonde (Dendermonde);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wakken (Dentergem);8720;Dentergem;Niet-stedelijk;Wakken (Dentergem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Dessel;2480;Dessel;Niet-stedelijk;Dessel;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Destelbergen;9070;Destelbergen;Niet-stedelijk;Destelbergen;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Heusden (Destelbergen);9070;Destelbergen;Niet-stedelijk;Heusden (Destelbergen);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Diepenbeek;3590;Diepenbeek;Niet-stedelijk;Diepenbeek;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Deurne (Diest);3290;Diest;Niet-stedelijk;Deurne (Diest);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Diest;3290;Diest;Niet-stedelijk;Diest;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Schaffen (Diest);3290;Diest;Niet-stedelijk;Schaffen (Diest);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Webbekom (Diest);3290;Diest;Niet-stedelijk;Webbekom (Diest);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kaggevinne (Diest);3293;Diest;Niet-stedelijk;Kaggevinne (Diest);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Molenstede (Diest);3294;Diest;Niet-stedelijk;Molenstede (Diest);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beerst (Diksmuide);8600;Diksmuide;Niet-stedelijk;Beerst (Diksmuide);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Diksmuide;8600;Diksmuide;Niet-stedelijk;Diksmuide;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Esen (Diksmuide);8600;Diksmuide;Niet-stedelijk;Esen (Diksmuide);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Woumen (Diksmuide);8600;Diksmuide;Niet-stedelijk;Woumen (Diksmuide);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Leke (Diksmuide);8600;Diksmuide;Niet-stedelijk;Leke (Diksmuide);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vladslo (Diksmuide);8600;Diksmuide;Niet-stedelijk;Vladslo (Diksmuide);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Dilbeek;1700;Dilbeek;Niet-stedelijk;Dilbeek;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Martens-Bodegem (Dilbeek);1700;Dilbeek;Niet-stedelijk;Sint-Martens-Bodegem (Dilbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Ulriks-Kapelle (Dilbeek);1700;Dilbeek;Niet-stedelijk;Sint-Ulriks-Kapelle (Dilbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Itterbeek (Dilbeek);1701;Dilbeek;Niet-stedelijk;Itterbeek (Dilbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Groot-Bijgaarden (Dilbeek);1702;Dilbeek;Niet-stedelijk;Groot-Bijgaarden (Dilbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Schepdaal (Dilbeek);1703;Dilbeek;Niet-stedelijk;Schepdaal (Dilbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Dilsen;3650;Dilsen-Stokkem;Niet-stedelijk;Dilsen;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Dilsen-Stokkem;3650;Dilsen-Stokkem;Niet-stedelijk;Dilsen-Stokkem;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Elen (Dilsen-Stokkem);3650;Dilsen-Stokkem;Niet-stedelijk;Elen (Dilsen-Stokkem);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lanklaar (Dilsen-Stokkem);3650;Dilsen-Stokkem;Niet-stedelijk;Lanklaar (Dilsen-Stokkem);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Stokkem;3650;Dilsen-Stokkem;Niet-stedelijk;Stokkem;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Drogenbos;1620;Drogenbos;Niet-stedelijk;Drogenbos;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Duffel;2570;Duffel;Niet-stedelijk;Duffel;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Edegem;2650;Edegem;Niet-stedelijk;Edegem;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Eeklo;9900;Eeklo;Niet-stedelijk;Eeklo;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Elsene (Brussel);1050;Elsene;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Aaigem (Erpe-Mere);9420;Erpe-Mere;Niet-stedelijk;Aaigem (Erpe-Mere);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Burst (Erpe-Mere);9420;Erpe-Mere;Niet-stedelijk;Burst (Erpe-Mere);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Erondegem (Erpe-Mere);9420;Erpe-Mere;Niet-stedelijk;Erondegem (Erpe-Mere);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Erpe (Erpe-Mere);9420;Erpe-Mere;Niet-stedelijk;Erpe (Erpe-Mere);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Erpe-Mere;9420;Erpe-Mere;Niet-stedelijk;Erpe-Mere;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Mere (Erpe-Mere);9420;Erpe-Mere;Niet-stedelijk;Mere (Erpe-Mere);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ottergem (Erpe-Mere);9420;Erpe-Mere;Niet-stedelijk;Ottergem (Erpe-Mere);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Essen;2910;Essen;Niet-stedelijk;Essen;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Etterbeek (Brussel);1040;Etterbeek;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Evere (Brussel);1140;Evere;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Ertvelde (Evergem);9940;Evergem;Niet-stedelijk;Ertvelde (Evergem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Evergem;9940;Evergem;Niet-stedelijk;Evergem;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sleidinge (Evergem);9940;Evergem;Niet-stedelijk;Sleidinge (Evergem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kluizen (Evergem);9940;Evergem;Niet-stedelijk;Kluizen (Evergem);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Galmaarden;1570;Galmaarden;Niet-stedelijk;Galmaarden;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vollezele (Galmaarden);1570;Galmaarden;Niet-stedelijk;Vollezele (Galmaarden);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ganshoren (Brussel);1083;Ganshoren;Grootstad;Brussel;Brussels;Belgium;Brussel;Grootstad;;;;;;;;;;;;;;;;;;;;
Asper (Gavere);9890;Gavere;Niet-stedelijk;Asper (Gavere);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Dikkelvenne (Gavere);9890;Gavere;Niet-stedelijk;Dikkelvenne (Gavere);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Gavere;9890;Gavere;Niet-stedelijk;Gavere;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Semmerzake (Gavere);9890;Gavere;Niet-stedelijk;Semmerzake (Gavere);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Geel;2440;Geel;Niet-stedelijk;Geel;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Geetbets;3450;Geetbets;Niet-stedelijk;Geetbets;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Rummen (Geetbets);3454;Geetbets;Niet-stedelijk;Rummen (Geetbets);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Genk;3600;Genk;Centrumstad;Genk;Limburg;Belgium;Limburg;Centrumstad;;;;;;;;;;;;;;;;;;;;
Gent;9000;Gent;Grootstad;Stad Gent;East Flanders;Belgium;Oost-Vlaanderen;Grootstad;;;;;;;;;;;;;;;;;;;;
Mariakerke (Gent);9030;Gent;Grootstad;Stad Gent;East Flanders;Belgium;Oost-Vlaanderen;Grootstad;;;;;;;;;;;;;;;;;;;;
Drongen (Gent);9031;Gent;Grootstad;Stad Gent;East Flanders;Belgium;Oost-Vlaanderen;Grootstad;;;;;;;;;;;;;;;;;;;;
Wondelgem (Gent);9032;Gent;Grootstad;Stad Gent;East Flanders;Belgium;Oost-Vlaanderen;Grootstad;;;;;;;;;;;;;;;;;;;;
Sint-Amandsberg (Gent);9040;Gent;Grootstad;Stad Gent;East Flanders;Belgium;Oost-Vlaanderen;Grootstad;;;;;;;;;;;;;;;;;;;;
Oostakker (Gent);9041;Gent;Grootstad;Stad Gent;East Flanders;Belgium;Oost-Vlaanderen;Grootstad;;;;;;;;;;;;;;;;;;;;
Mendonk (Gent);9042;Gent;Grootstad;Stad Gent;East Flanders;Belgium;Oost-Vlaanderen;Grootstad;;;;;;;;;;;;;;;;;;;;
Gentbrugge (Gent);9050;Gent;Grootstad;Stad Gent;East Flanders;Belgium;Oost-Vlaanderen;Grootstad;;;;;;;;;;;;;;;;;;;;
Ledeberg (Gent);9050;Gent;Grootstad;Stad Gent;East Flanders;Belgium;Oost-Vlaanderen;Grootstad;;;;;;;;;;;;;;;;;;;;
Afsnee (Gent);9051;Gent;Grootstad;Stad Gent;East Flanders;Belgium;Oost-Vlaanderen;Grootstad;;;;;;;;;;;;;;;;;;;;
Sint-Denijs-Westrem (Gent);9051;Gent;Grootstad;Stad Gent;East Flanders;Belgium;Oost-Vlaanderen;Grootstad;;;;;;;;;;;;;;;;;;;;
Zwijnaarde (Gent);9052;Gent;Grootstad;Stad Gent;East Flanders;Belgium;Oost-Vlaanderen;Grootstad;;;;;;;;;;;;;;;;;;;;
Desteldonk;9042;Gent;Grootstad;Stad Gent;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Geraardsbergen;9500;Geraardsbergen;Niet-stedelijk;Geraardsbergen;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Nederboelare (Geraardsbergen);9500;Geraardsbergen;Niet-stedelijk;Nederboelare (Geraardsbergen);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Overboelare (Geraardsbergen);9500;Geraardsbergen;Niet-stedelijk;Overboelare (Geraardsbergen);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zarlardinge (Geraardsbergen);9500;Geraardsbergen;Niet-stedelijk;Zarlardinge (Geraardsbergen);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Goeferdinge (Geraardsbergen);9500;Geraardsbergen;Niet-stedelijk;Goeferdinge (Geraardsbergen);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ophasselt (Geraardsbergen);9500;Geraardsbergen;Niet-stedelijk;Ophasselt (Geraardsbergen);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Grimminge (Geraardsbergen);9506;Geraardsbergen;Niet-stedelijk;Grimminge (Geraardsbergen);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Idegem (Geraardsbergen);9506;Geraardsbergen;Niet-stedelijk;Idegem (Geraardsbergen);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Schendelbeke (Geraardsbergen);9506;Geraardsbergen;Niet-stedelijk;Schendelbeke (Geraardsbergen);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zandbergen (Geraardsbergen);9506;Geraardsbergen;Niet-stedelijk;Zandbergen (Geraardsbergen);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Gingelom;3890;Gingelom;Niet-stedelijk;Gingelom;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Montenaken (Gingelom);3890;Gingelom;Niet-stedelijk;Montenaken (Gingelom);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Borlo (Gingelom);3891;Gingelom;Niet-stedelijk;Borlo (Gingelom);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Gistel;8470;Gistel;Niet-stedelijk;Gistel;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Snaaskerke (Gistel);8470;Gistel;Niet-stedelijk;Snaaskerke (Gistel);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Moere (Gistel);8470;Gistel;Niet-stedelijk;Moere (Gistel);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bunsbeek (Glabbeek);3380;Glabbeek;Niet-stedelijk;Bunsbeek (Glabbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Glabbeek;3380;Glabbeek;Niet-stedelijk;Glabbeek;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kapellen (Glabbeek);3381;Glabbeek;Niet-stedelijk;Kapellen (Glabbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Attenrode (Glabbeek);3384;Glabbeek;Niet-stedelijk;Attenrode (Glabbeek);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Gooik;1755;Gooik;Niet-stedelijk;Gooik;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kester (Gooik);1755;Gooik;Niet-stedelijk;Kester (Gooik);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Grimbergen;1850;Grimbergen;Niet-stedelijk;Grimbergen;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Humbeek (Grimbergen);1851;Grimbergen;Niet-stedelijk;Humbeek (Grimbergen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beigem (Grimbergen);1852;Grimbergen;Niet-stedelijk;Beigem (Grimbergen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Strombeek-Bever (Grimbergen);1853;Grimbergen;Niet-stedelijk;Strombeek-Bever (Grimbergen);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Grobbendonk;2280;Grobbendonk;Niet-stedelijk;Grobbendonk;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bouwel (Grobbendonk);2288;Grobbendonk;Niet-stedelijk;Bouwel (Grobbendonk);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Haacht;3150;Haacht;Niet-stedelijk;Haacht;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tildonk (Haacht);3150;Haacht;Niet-stedelijk;Tildonk (Haacht);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Wespelaar (Haacht);3150;Haacht;Niet-stedelijk;Wespelaar (Haacht);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Denderhoutem (Haaltert);9450;Haaltert;Niet-stedelijk;Denderhoutem (Haaltert);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Haaltert;9450;Haaltert;Niet-stedelijk;Haaltert;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Heldergem (Haaltert);9450;Haaltert;Niet-stedelijk;Heldergem (Haaltert);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kerksken (Haaltert);9451;Haaltert;Niet-stedelijk;Kerksken (Haaltert);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Halen;3545;Halen;Niet-stedelijk;Halen;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Loksbergen (Halen);3545;Halen;Niet-stedelijk;Loksbergen (Halen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zelem (Halen);3545;Halen;Niet-stedelijk;Zelem (Halen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Halle;1500;Halle;Niet-stedelijk;Halle;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
