Gemeente Origineel;Postcode;Fusiegemeente;Stedelijkheid fusiegemeenten;Gemeente cluster;Province (English);Country (English);Provincie;Stedelijkheid;;;;;;;;;;;;;;;;;;;;
Deurne (Antwerpen);2100;Antwerpen;Grootstad;Antwerpen Stad;Antwerp;Belgium;Antwerpen;Grootstad;;;;;;;;;;;;;;;;;;;;
Borgerhout (Antwerpen);2140;Antwerpen;Grootstad;Antwerpen Stad;Antwerp;Belgium;Antwerpen;Grootstad;;;;;;;;;;;;;;;;;;;;
Merksem (Antwerpen);2170;Antwerpen;Grootstad;Antwerpen Stad;Antwerp;Belgium;Antwerpen;Grootstad;;;;;;;;;;;;;;;;;;;;
Ekeren (Antwerpen);2180;Antwerpen;Grootstad;Antwerpen Stad;Antwerp;Belgium;Antwerpen;Grootstad;;;;;;;;;;;;;;;;;;;;
Berchem (Antwerpen);2600;Antwerpen;Grootstad;Antwerpen Stad;Antwerp;Belgium;Antwerpen;Grootstad;;;;;;;;;;;;;;;;;;;;
Wilrijk (Antwerpen);2610;Antwerpen;Grootstad;Antwerpen Stad;Antwerp;Belgium;Antwerpen;Grootstad;;;;;;;;;;;;;;;;;;;;
Hoboken (Antwerpen);2660;Antwerpen;Grootstad;Antwerpen Stad;Antwerp;Belgium;Antwerpen;Grootstad;;;;;;;;;;;;;;;;;;;;
Anzegem;8570;Anzegem;Niet-stedelijk;Anzegem;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Gijzelbrechtegem (Anzegem);8570;Anzegem;Niet-stedelijk;Gijzelbrechtegem (Anzegem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vichte (Anzegem);8570;Anzegem;Niet-stedelijk;Vichte (Anzegem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ingooigem (Anzegem);8570;Anzegem;Niet-stedelijk;Ingooigem (Anzegem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kaster (Anzegem);8572;Anzegem;Niet-stedelijk;Kaster (Anzegem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Tiegem (Anzegem);8573;Anzegem;Niet-stedelijk;Tiegem (Anzegem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Ardooie;8850;Ardooie;Niet-stedelijk;Ardooie;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Koolskamp (Ardooie);8851;Ardooie;Niet-stedelijk;Koolskamp (Ardooie);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Arendonk;2370;Arendonk;Niet-stedelijk;Arendonk;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
As;3665;As;Niet-stedelijk;As;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Niel-Bij-As (As);3668;As;Niet-stedelijk;Niel-Bij-As (As);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Asse;1730;Asse;Niet-stedelijk;Asse;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kobbegem (Asse);1730;Asse;Niet-stedelijk;Kobbegem (Asse);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Mollem (Asse);1730;Asse;Niet-stedelijk;Mollem (Asse);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Zellik (Asse);1731;Asse;Niet-stedelijk;Zellik (Asse);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Relegem (Asse);1731;Asse;Niet-stedelijk;Relegem (Asse);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Assenede;9960;Assenede;Niet-stedelijk;Assenede;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Boekhoute (Assenede);9961;Assenede;Niet-stedelijk;Boekhoute (Assenede);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bassevelde (Assenede);9968;Assenede;Niet-stedelijk;Bassevelde (Assenede);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oosteeklo (Assenede);9968;Assenede;Niet-stedelijk;Oosteeklo (Assenede);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Avelgem;8580;Avelgem;Niet-stedelijk;Avelgem;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bossuit (Avelgem);8583;Avelgem;Niet-stedelijk;Bossuit (Avelgem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Baarle-Hertog;2387;Baarle-Hertog;Niet-stedelijk;Baarle-Hertog;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Balen;2490;Balen;Niet-stedelijk;Balen;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beernem;8730;Beernem;Niet-stedelijk;Beernem;West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Oedelem (Beernem);8730;Beernem;Niet-stedelijk;Oedelem (Beernem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Sint-Joris (Beernem);8730;Beernem;Niet-stedelijk;Sint-Joris (Beernem);West Flanders;Belgium;West-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beerse;2340;Beerse;Niet-stedelijk;Beerse;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vlimmeren (Beerse);2340;Beerse;Niet-stedelijk;Vlimmeren (Beerse);Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beersel;1650;Beersel;Niet-stedelijk;Beersel;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Lot (Beersel);1651;Beersel;Niet-stedelijk;Lot (Beersel);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Alsemberg (Beersel);1652;Beersel;Niet-stedelijk;Alsemberg (Beersel);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Dworp (Beersel);1653;Beersel;Niet-stedelijk;Dworp (Beersel);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Huizingen (Beersel);1654;Beersel;Niet-stedelijk;Huizingen (Beersel);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Begijnendijk;3130;Begijnendijk;Niet-stedelijk;Begijnendijk;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Betekom (Begijnendijk);3130;Begijnendijk;Niet-stedelijk;Betekom (Begijnendijk);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bekkevoort;3460;Bekkevoort;Niet-stedelijk;Bekkevoort;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Molenbeek-Wersbeek (Bekkevoort);3461;Bekkevoort;Niet-stedelijk;Molenbeek-Wersbeek (Bekkevoort);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beringen;3580;Beringen;Niet-stedelijk;Beringen;Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beverlo (Beringen);3581;Beringen;Niet-stedelijk;Beverlo (Beringen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Koersel (Beringen);3582;Beringen;Niet-stedelijk;Koersel (Beringen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Paal (Beringen);3583;Beringen;Niet-stedelijk;Paal (Beringen);Limburg;Belgium;Limburg;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Berlaar;2590;Berlaar;Niet-stedelijk;Berlaar;Antwerp;Belgium;Antwerpen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Berlare;9290;Berlare;Niet-stedelijk;Berlare;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Overmere (Berlare);9290;Berlare;Niet-stedelijk;Overmere (Berlare);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Uitbergen (Berlare);9290;Berlare;Niet-stedelijk;Uitbergen (Berlare);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bertem;3060;Bertem;Niet-stedelijk;Bertem;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Korbeek-Dijle (Bertem);3060;Bertem;Niet-stedelijk;Korbeek-Dijle (Bertem);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Leefdaal (Bertem);3061;Bertem;Niet-stedelijk;Leefdaal (Bertem);Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bever;1547;Bever;Niet-stedelijk;Bever;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Beveren-Waas;9120;Beveren;Niet-stedelijk;Beveren-Waas;East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Haasdonk (Beveren);9120;Beveren;Niet-stedelijk;Haasdonk (Beveren);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Melsele (Beveren);9120;Beveren;Niet-stedelijk;Melsele (Beveren);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Vrasene (Beveren);9120;Beveren;Niet-stedelijk;Vrasene (Beveren);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kallo (Beveren-Waas);9120;Beveren;Niet-stedelijk;Kallo (Beveren-Waas);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Doel (Beveren);9130;Beveren;Niet-stedelijk;Doel (Beveren);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kallo (Kieldrecht - Beveren-Waas);9130;Beveren;Niet-stedelijk;Kallo (Kieldrecht - Beveren-Waas);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Kieldrecht (Beveren);9130;Beveren;Niet-stedelijk;Kieldrecht (Beveren);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Verrebroek (Beveren);9130;Beveren;Niet-stedelijk;Verrebroek (Beveren);East Flanders;Belgium;Oost-Vlaanderen;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
Bierbeek;3360;Bierbeek;Niet-stedelijk;Bierbeek;Flemish Brabant;Belgium;Vlaams-Brabant;Niet-stedelijk;;;;;;;;;;;;;;;;;;;;
