Gent;51,0543422;3,7174243;Polen;3
Gent;51,0543422;3,7174243;India;4
Gent;51,0543422;3,7174243;Italië;6
Gent;51,0543422;3,7174243;Luxemburg;7
Gent;51,0543422;3,7174243;Oekraïne;1
Gent;51,0543422;3,7174243;Egypte;3
Gent;51,0543422;3,7174243;Kenia;2
Gent;51,0543422;3,7174243;Zwitserland;3
Gent;51,0543422;3,7174243;Frankrijk;17
Gent;51,0543422;3,7174243;Thailand;9
Gent;51,0543422;3,7174243;Denemarken;1
Gent;51,0543422;3,7174243;Cuba;8
Gent;51,0543422;3,7174243;Oostenrijk;2
Gent;51,0543422;3,7174243;Slowakije;1
Gent;51,0543422;3,7174243;Noorwegen;1
Gent;51,0543422;3,7174243;Rusland;6
Gent;51,0543422;3,7174243;Australië;2
Gent;51,0543422;3,7174243;Japan;8
Hamont-Achel;51,2697668;5,5154222;Nederland;1
Hamont-Achel;51,2697668;5,5154222;Argentinië;1
Hamont-Achel;51,2697668;5,5154222;Frankrijk;1
Hamont-Achel;51,2697668;5,5154222;Mexico;1
Waregem;50,8868949;3,4231675;Nederland;2
Evere;50,8739353;4,4009421;Nederland;1
Harelbeke;50,8567031;3,3106757;Brazilië;1
Harelbeke;50,8567031;3,3106757;Mexico;1
Hoogstraten;51,4021866;4,7619387;Nederland;1
Bilzen;50,8718971;5,5167162;Oostenrijk;1
Bilzen;50,8718971;5,5167162;Nederland;4
Bilzen;50,8718971;5,5167162;Frankrijk;2
Ardooie;50,9767648;3,1991212;Nederland;1
Gistel;51,1562658;2,9676422;Nederland;1
Gistel;51,1562658;2,9676422;Canada;1
Kraainem;50,8610856;4,4592974;Nederland;2
Kraainem;50,8610856;4,4592974;Myanmar;1
Opglabbeek;51,04316;5,58412;Nederland;1
Opglabbeek;51,04316;5,58412;Frankrijk;1
Opglabbeek;51,04316;5,58412;Oekraïne;2
Izegem;50,9180785;3,2132192;Nederland;1
Izegem;50,9180785;3,2132192;Mexico;1
Schelle;51,1269186;4,3388412;Mexico;1
Middelkerke;51,18511;2,8207883;Nederland;1
Middelkerke;51,18511;2,8207883;Frankrijk;1
Middelkerke;51,18511;2,8207883;Mexico;1
Bornem;51,0996057;4,2404586;Nederland;5
Bornem;51,0996057;4,2404586;Brazilië;1
Kortenberg;50,8884334;4,5440302;Oostenrijk;1
Kortenberg;50,8884334;4,5440302;Nederland;1
Kortenberg;50,8884334;4,5440302;Macedonië;1
Kortenberg;50,8884334;4,5440302;Frankrijk;1
Dilsen-Stokkem;51,0301998;5,7000888;Nederland;1
Dilsen-Stokkem;51,0301998;5,7000888;Rusland;1
Buggenhout;51,0136764;4,2011261;Nederland;1
Buggenhout;51,0136764;4,2011261;Mexico;2
Wezembeek-Oppem;50,8508976;4,4874562;Nederland;1
Beersel;50,7669262;4,3084744;Sri Lanka;1
Beersel;50,7669262;4,3084744;Israël;2
Beersel;50,7669262;4,3084744;Ierland;1
Beersel;50,7669262;4,3084744;Oostenrijk;2
Beersel;50,7669262;4,3084744;Nederland;6
Beersel;50,7669262;4,3084744;Rusland;1
Beersel;50,7669262;4,3084744;China;1
Beersel;50,7669262;4,3084744;Frankrijk;1
Beersel;50,7669262;4,3084744;Australië;3
Beersel;50,7669262;4,3084744;Japan;3
Sint-Pieters-Woluwe;50,8299809;4,4335038;Nederland;2
Sint-Pieters-Woluwe;50,8299809;4,4335038;Vietnam;1
Sint-Pieters-Woluwe;50,8299809;4,4335038;Afghanistan;1
Sint-Pieters-Woluwe;50,8299809;4,4335038;Irak;1
Sint-Pieters-Woluwe;50,8299809;4,4335038;Rwanda;1
Asse;50,909373;4,2005478;Polen;1
Asse;50,909373;4,2005478;Nederland;3
Asse;50,909373;4,2005478;Groenland;1
Denderleeuw;50,8846118;4,0760221;India;1
Diest;50,98965;5,05016;Nederland;6
Diest;50,98965;5,05016;Denemarken;4
Diest;50,98965;5,05016;Frankrijk;1
Diest;50,98965;5,05016;Roemenië;2
Waasmunster;51,1094611;4,0844742;Nederland;2
